2022-04-17 10:52:27.795 接收deviceList：{} 
2022-04-17 10:53:58.105 接收inDepotList：ZxPlatTaskPo [Hash = 1341841515, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:59.098 接收inDepotList：ZxPlatTaskPo [Hash = 440212110, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:00.098 接收inDepotList：ZxPlatTaskPo [Hash = 1485359666, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:01.123 接收inDepotList：ZxPlatTaskPo [Hash = 618677345, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:02.106 接收inDepotList：ZxPlatTaskPo [Hash = 1609871102, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:03.104 接收inDepotList：ZxPlatTaskPo [Hash = 968523088, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:04.102 接收inDepotList：ZxPlatTaskPo [Hash = 537382029, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:05.103 接收inDepotList：ZxPlatTaskPo [Hash = 2105928663, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:06.098 接收inDepotList：ZxPlatTaskPo [Hash = 1770031644, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:07.104 接收inDepotList：ZxPlatTaskPo [Hash = 670155916, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
